lon,lat,score,score_type
-84.85000000000004,30.6,0,use_only_actual_tract
-84.80000000000004,30.6,0,use_only_actual_tract
-84.75000000000004,30.6,0,use_only_actual_tract
-84.70000000000005,30.6,0,use_only_actual_tract
-84.65000000000005,30.6,0,use_only_actual_tract
-84.60000000000005,30.6,0,use_only_actual_tract
-84.55000000000005,30.6,0,use_only_actual_tract
-84.50000000000006,30.6,0,use_only_actual_tract
-84.45000000000006,30.6,0,use_only_actual_tract
-84.40000000000006,30.6,0,use_only_actual_tract
-84.35000000000007,30.6,0,use_only_actual_tract
-84.30000000000007,30.6,0,use_only_actual_tract
-84.25000000000007,30.6,0,use_only_actual_tract
-84.20000000000007,30.6,0,use_only_actual_tract
-84.15000000000008,30.6,0,use_only_actual_tract
-84.10000000000008,30.6,0,use_only_actual_tract
-84.05000000000008,30.6,0,use_only_actual_tract
-84.00000000000009,30.6,0,use_only_actual_tract
-83.95000000000009,30.6,0,use_only_actual_tract
-83.90000000000009,30.6,0,use_only_actual_tract
-83.8500000000001,30.6,0,use_only_actual_tract
-83.8000000000001,30.6,0,use_only_actual_tract
-83.7500000000001,30.6,0,use_only_actual_tract
-83.7000000000001,30.6,0,use_only_actual_tract
-83.6500000000001,30.6,0,use_only_actual_tract
-83.60000000000011,30.6,0,use_only_actual_tract
-83.55000000000011,30.6,0,use_only_actual_tract
-83.50000000000011,30.6,0,use_only_actual_tract
-83.45000000000012,30.6,0,use_only_actual_tract
-83.40000000000012,30.6,0,use_only_actual_tract
-83.35000000000012,30.6,0,use_only_actual_tract
-83.30000000000013,30.6,0,use_only_actual_tract
-83.25000000000013,30.6,0,use_only_actual_tract
-83.20000000000013,30.6,0,use_only_actual_tract
-83.15000000000013,30.6,0,use_only_actual_tract
-83.10000000000014,30.6,0,use_only_actual_tract
-83.05000000000014,30.6,0,use_only_actual_tract
-83.00000000000014,30.6,0,use_only_actual_tract
-82.95000000000014,30.6,0,use_only_actual_tract
-82.90000000000015,30.6,0,use_only_actual_tract
-82.85000000000015,30.6,0,use_only_actual_tract
-82.80000000000015,30.6,0,use_only_actual_tract
-82.75000000000016,30.6,0,use_only_actual_tract
-82.70000000000016,30.6,6,use_only_actual_tract
-82.65000000000016,30.6,6,use_only_actual_tract
-82.60000000000016,30.6,6,use_only_actual_tract
-82.55000000000017,30.6,0,use_only_actual_tract
-82.50000000000017,30.6,0,use_only_actual_tract
-82.45000000000017,30.6,0,use_only_actual_tract
-82.40000000000018,30.6,8,use_only_actual_tract
-82.35000000000018,30.6,8,use_only_actual_tract
-82.30000000000018,30.6,8,use_only_actual_tract
-82.25000000000018,30.6,8,use_only_actual_tract
-82.20000000000019,30.6,6,use_only_actual_tract
-82.15000000000019,30.6,6,use_only_actual_tract
-82.1000000000002,30.6,6,use_only_actual_tract
-82.0500000000002,30.6,6,use_only_actual_tract
-82.0000000000002,30.6,0,use_only_actual_tract
-81.9500000000002,30.6,0,use_only_actual_tract
-81.9000000000002,30.6,0,use_only_actual_tract
-81.85000000000021,30.6,0,use_only_actual_tract
-81.80000000000021,30.6,0,use_only_actual_tract
-81.75000000000021,30.6,0,use_only_actual_tract
-81.70000000000022,30.6,0,use_only_actual_tract
-81.65000000000022,30.6,0,use_only_actual_tract
-81.60000000000022,30.6,0,use_only_actual_tract
-81.55000000000022,30.6,0,use_only_actual_tract
-81.50000000000023,30.6,0,use_only_actual_tract
-81.45000000000023,30.6,0,use_only_actual_tract
-81.40000000000023,30.6,0,use_only_actual_tract
-81.35000000000024,30.6,0,use_only_actual_tract
-81.30000000000024,30.6,0,use_only_actual_tract
-81.25000000000024,30.6,0,use_only_actual_tract
-81.20000000000024,30.6,0,use_only_actual_tract
-81.15000000000025,30.6,0,use_only_actual_tract
-81.10000000000025,30.6,0,use_only_actual_tract
-81.05000000000025,30.6,0,use_only_actual_tract
-81.00000000000026,30.6,0,use_only_actual_tract
-80.95000000000026,30.6,0,use_only_actual_tract
-80.90000000000026,30.6,0,use_only_actual_tract
-80.85000000000026,30.6,0,use_only_actual_tract
-85.6,30.650000000000002,0,use_only_actual_tract
-85.55,30.650000000000002,0,use_only_actual_tract
-85.5,30.650000000000002,0,use_only_actual_tract
-85.45,30.650000000000002,0,use_only_actual_tract
-85.4,30.650000000000002,0,use_only_actual_tract
-85.35000000000001,30.650000000000002,0,use_only_actual_tract
-85.30000000000001,30.650000000000002,0,use_only_actual_tract
-85.25000000000001,30.650000000000002,0,use_only_actual_tract
-85.20000000000002,30.650000000000002,0,use_only_actual_tract
-85.15000000000002,30.650000000000002,0,use_only_actual_tract
-85.10000000000002,30.650000000000002,0,use_only_actual_tract
-85.05000000000003,30.650000000000002,0,use_only_actual_tract
-85.00000000000003,30.650000000000002,0,use_only_actual_tract
-84.95000000000003,30.650000000000002,0,use_only_actual_tract
-84.90000000000003,30.650000000000002,0,use_only_actual_tract
-84.85000000000004,30.650000000000002,0,use_only_actual_tract
-84.80000000000004,30.650000000000002,0,use_only_actual_tract
-84.75000000000004,30.650000000000002,0,use_only_actual_tract
-84.70000000000005,30.650000000000002,0,use_only_actual_tract
-84.65000000000005,30.650000000000002,0,use_only_actual_tract
